researcher_id_a,researcher_id_b,window,joint_publication_count,first_joint_year,latest_joint_year,source,collected_at,run_id
A5011818793,A5042100493,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5052722112,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5044524626,all,2,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5100626021,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5055121468,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5101765150,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5030936631,all,1,2024,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5058349680,all,2,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5017735770,all,4,2023,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5049348377,all,1,2017,2017,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011818793,A5026459010,all,1,2017,2017,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011844783,A5040514663,all,7,2022,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011844783,A5067428277,all,15,2021,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011844783,A5100771881,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011844783,A5057036329,all,20,2021,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011844783,A5053879044,all,4,2024,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011844783,A5056969461,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5011844783,A5110948257,all,2,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5012763936,A5109616230,all,4,2023,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5012763936,A5073934092,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5012763936,A5080393838,all,6,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5012763936,A5060611882,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5100380876,all,4,2020,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5022448366,all,6,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5031068192,all,18,2017,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5020433927,all,3,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5038321538,all,4,2021,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5039165896,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5060670063,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5016338335,all,5,2017,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5013823921,A5043815269,all,1,2022,2022,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5045410556,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5064908728,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5016008254,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5100740580,all,1,2023,2023,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5073268857,all,2,2023,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5038666848,all,2,2023,2026,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5101966875,all,13,2025,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5017735770,all,13,2025,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014147627,A5069564463,all,1,2025,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5029278469,all,11,2019,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5017735770,all,13,2019,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5023527433,all,3,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5024506731,all,3,2022,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5110208084,all,8,2020,2025,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5070011199,all,2,2023,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
A5014354862,A5113080525,all,2,2023,2024,OpenAlex,2026-07-31T08:57:41.782804+00:00,20260731T085741Z
